DATE_OF_SCORE	PROPERTY_TYPE	CONTENTDATA_PROPERTY_TYPE_ID	APS_RAW_SCORE	PROPERTY_NAME
2024-04-06	BROADCAST	301-13673	27.845766013	Brian & Company
2024-04-06	BROADCAST	301-21553	27.546466556	Kickoff with Boomer and Valenti
2024-04-06	BROADCAST	301-12696	27.399169239	Juliet
2024-04-06	BROADCAST	301-17631	27.377615398	Philadelphia Eagles Football
2024-04-06	BROADCAST	301-13894	27.234103265	Joe Rosati
2024-04-06	BROADCAST	301-12487	27.190968411	The Bee Morning Coffee Club
2024-04-06	BROADCAST	301-16634	27.157802698	The Tony Scott Show
2024-04-06	BROADCAST	301-17018	27.151729849	The Tom Shattuck Show
2024-04-06	BROADCAST	301-1885	27.025009277	Glenn Anderson
2024-04-06	BROADCAST	301-22151	26.875000162	Your Work Day With Mishelae
2024-04-06	BROADCAST	301-21387	26.84500848	New York Giants Football
2024-04-06	BROADCAST	301-1427	26.673009842	Joe Causi
2024-04-06	BROADCAST	301-21631	26.641404906	Nancy Prado
2024-04-06	BROADCAST	301-20954	26.595865846	The Big Tigger Morning Show
2024-04-06	BROADCAST	301-19580	26.571200792	KCBS Radio Midday News
2024-04-06	BROADCAST	301-13434	26.522115013	Delilah
2024-04-06	BROADCAST	301-20635	26.465002234	The Hoffman Show
2024-04-06	BROADCAST	301-1610	26.330468421	Dallas
2024-04-06	BROADCAST	301-19355	26.213912557	Pat Boyle
2024-04-06	BROADCAST	301-20218	26.121689522	Rob Charry
2024-04-06	BROADCAST	301-1686	26.053338958	Trish Gazall
2024-04-06	BROADCAST	301-13024	25.877194879	Dirt & Sprague
2024-04-06	BROADCAST	301-21393	25.760484239	Don Davis
2024-04-06	BROADCAST	301-21389	25.513014538	Drew Walker
2024-04-06	BROADCAST	301-21354	25.388005372	Jackie Paige & Jonathan Carlson
2024-04-06	BROADCAST	301-16635	25.347791158	Rickey Smiley Morning Show
2024-04-06	BROADCAST	301-2607	25.281759335	Reiter Than You
2024-04-06	BROADCAST	301-2445	24.793261172	El Show De Piolín
2024-04-06	BROADCAST	301-22174	24.719989019	On Point with Juandolyn Stokes
2024-04-06	BROADCAST	301-20233	24.603369433	Best of 94WIP
2024-04-06	BROADCAST	301-18558	23.875139893	Overtime on 106.7 The Fan
2024-04-06	BROADCAST	301-20691	23.862178729	Danny and Dusty
2024-04-06	BROADCAST	301-529	23.838886618	Frankie Ross
2024-04-06	BROADCAST	301-22171	23.732244477	FOX Across America with Jimmy Failla
2024-04-06	BROADCAST	301-13499	23.570623822	Vaughn
2024-04-06	BROADCAST	301-2352	23.523015425	Sherry Knight
2024-04-06	BROADCAST	301-16766	23.354436443	Carl Dukes
2024-04-06	BROADCAST	301-21646	23.323658561	Keepin' It Real with Rev Al Sharpton
2024-04-06	BROADCAST	301-21377	23.282111055	Jonesy In The Morning
2024-04-06	BROADCAST	301-13447	23.268617811	Jeff Katz
2024-04-06	BROADCAST	301-17224	23.233087572	Drew Blando
2024-04-06	BROADCAST	301-19366	23.090985364	Emmanuel Berbari
2024-04-06	BROADCAST	301-21996	23.001208121	Overtime with Jonathan Peterlin
2024-04-06	BROADCAST	301-21843	22.984983471	Drive Time with Michael Wallace
2024-04-06	BROADCAST	301-15014	22.924826643	The Bart Winkler Show
2024-04-06	BROADCAST	301-17430	22.894211765	Nard
2024-04-06	BROADCAST	301-20231	22.639595331	Rickie Ricardo Show
2024-04-06	BROADCAST	301-13822	22.57051387	Kelli & Guy on K-Frog
2024-04-06	BROADCAST	301-13558	22.564458223	Annette Wade
2024-04-06	BROADCAST	301-21802	22.561152173	KRLD Afternoon News with Kristin Diaz & David Rancken
2024-04-06	BROADCAST	301-19600	22.478122736	Gresh and Keefe
2024-04-06	BROADCAST	301-12467	22.313600794	Twisted Todd
2024-04-06	BROADCAST	301-17438	22.296834225	Score Overnights
2024-04-06	BROADCAST	301-1286	22.069044898	The Morning Bullpen with George, Mo and Erik
2024-04-06	BROADCAST	301-20241	21.883866957	Rick Dayton
2024-04-06	BROADCAST	301-21298	21.831208393	Philadelphia Eagles Pregame Show
2024-04-06	BROADCAST	301-17629	21.734099042	Angelo Cataldi's Final Show
2024-04-06	BROADCAST	301-14977	21.689655554	Bill Tafrow
2024-04-06	BROADCAST	301-12863	21.617999479	Nightcap
2024-04-06	BROADCAST	301-14659	21.600222094	Ali
2024-04-06	BROADCAST	301-22900	21.504391454	Chase Daniels in the Afternoon
2024-04-06	BROADCAST	301-17622	21.377881482	Sonny Hill Show
2024-04-06	BROADCAST	301-21749	21.295602735	New York’s Country 94.7
2024-04-06	BROADCAST	301-12722	21.266641674	Sheri Taylor
2024-04-06	BROADCAST	301-13081	21.196378562	The Geoff Calkins Show
2024-04-06	BROADCAST	301-16776	21.0878545	Heather Collins
2024-04-06	BROADCAST	301-20388	20.975946842	Kansas City Royals Baseball
2024-04-06	BROADCAST	301-13237	20.786382749	Bob Rose Show
2024-04-06	BROADCAST	301-2354	20.775138837	Sonic
2024-04-06	BROADCAST	301-12765	20.750790258	Stoneman
2024-04-06	BROADCAST	301-13432	20.707137796	Kat Simons
2024-04-06	BROADCAST	301-21120	20.697509091	Brett Provo
2024-04-06	BROADCAST	301-21803	20.589378597	KRLD Midday News
2024-04-06	BROADCAST	301-22281	20.574934145	The Cipha Sounds Adventure
2024-04-06	BROADCAST	301-14590	20.370091173	Liz Campbell
2024-04-06	BROADCAST	301-13439	20.365741629	The Herd with Colin Cowherd
2024-04-06	BROADCAST	301-13428	20.357676244	Elliot in the Morning
2024-04-06	BROADCAST	301-17890	20.312350022	105.7 The Fan Nights and Weekends
2024-04-06	BROADCAST	301-1839	20.286142607	Kelly
2024-04-06	BROADCAST	301-14849	20.254635522	Corinna Delgado
2024-04-06	BROADCAST	301-20017	20.191526015	Merloni, Fauria & Mego
2024-04-06	BROADCAST	301-16812	20.167585609	El Show De Erazno Y Chokolata
2024-04-06	BROADCAST	301-22560	20.051355417	CNN News Central
2024-04-06	BROADCAST	301-19183	19.969112521	Paul Murnane
2024-04-06	BROADCAST	301-24103	19.887334143	Andy Chanley
2024-04-06	BROADCAST	301-14836	19.884907072	Dave Stewart
2024-04-06	BROADCAST	301-17841	19.766544095	Todd Feinburg Show
2024-04-06	BROADCAST	301-12162	19.749107863	Taryn Daly
2024-04-06	BROADCAST	301-20336	19.678442438	Sean Bell
2024-04-06	BROADCAST	301-2562	19.636916959	SoCal's Only 24/7 Connection
2024-04-06	BROADCAST	301-21753	19.592865399	EJ Stewart
2024-04-06	BROADCAST	301-18925	19.535755458	Jim Costa
2024-04-06	BROADCAST	301-21261	19.524536914	Jenn & Bill
2024-04-06	BROADCAST	301-14697	19.517646367	70s, 80s & 90s
2024-04-06	BROADCAST	301-22467	19.467512505	On the Record with Steve Scott
2024-04-06	BROADCAST	301-532	19.426469715	K-EARTH 101 Morning Show With Gary Bryan
2024-04-06	BROADCAST	301-21297	19.383242584	Bills Network Pregame Show
2024-04-06	BROADCAST	301-18856	19.354444128	Detroit Red Wings Game
2024-04-06	BROADCAST	301-22511	19.288108733	Brian Kilmeade Show
2024-04-06	BROADCAST	301-12471	19.280122456	Paige
2024-04-06	BROADCAST	301-18808	19.275038423	Brian Chapman
2024-04-06	BROADCAST	301-12410	19.195608684	Jesse Garon
2024-04-06	BROADCAST	301-19541	19.022237631	Philadelphia's Midday News with Denise Nakano
2024-04-06	BROADCAST	301-20942	18.995045302	Bo Corona
2024-04-06	BROADCAST	301-21205	18.960168438	Mercedes in the Morning
2024-04-06	BROADCAST	301-22721	18.898978615	The Erick Erickson Show
